Season,Rank,Team,Record,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last
2022-23,60,"Air Force",10-3,3.1,0-0,0-0,1-0,50,73,65
2022-23,61,"Boise St",10-4,3.0,0-0,0-1,0-0,46,82,58
2022-23,62,"W Kentucky",9-5,2.9,0-0,0-0,0-0,56,100,63
2022-23,63,"BYU",8-5,2.4,0-0,0-2,1-1,15,64,60
2022-23,64,"E Carolina",8-5,2.4,0-0,0-0,1-2,47,72,66
2022-23,65,"App State",6-6,1.8,0-0,0-0,1-0,47,66,62
2022-23,66,"Troy",12-2,1.7,0-0,0-1,0-0,63,94,67
2022-23,67,"Marshall",9-4,1.2,0-0,1-0,0-0,42,73,64
2022-23,68,"Nebraska",4-8,-0.4,0-1,0-3,1-1,34,84,69
2022-23,69,"UAB",7-6,-0.6,0-1,0-0,0-0,42,70,70
2022-23,70,"S Alabama",10-3,-0.9,0-0,0-0,0-1,61,110,68
2022-23,71,"Miami",5-7,-1.2,0-0,0-2,0-2,11,71,71
2022-23,72,"Navy",4-8,-2.6,0-0,0-1,1-0,72,118,73
2022-23,73,"Louisiana",6-7,-2.7,0-0,0-1,0-0,68,92,72
2022-23,74,"California",4-8,-2.9,0-0,0-5,0-1,67,85,74
2022-23,75,"Army",6-6,-3.0,0-0,0-0,0-1,65,100,76
2022-23,76,"Toledo",9-5,-3.0,0-1,0-0,0-0,56,82,77
2022-23,77,"Arizona St",3-9,-3.1,0-1,1-2,0-2,55,83,75
2022-23,78,"Indiana",4-8,-3.6,0-3,1-0,0-1,76,86,78
2022-23,79,"Arizona",5-7,-3.7,0-1,0-4,1-0,74,101,79
2022-23,80,"Stanford",3-9,-4.3,0-1,1-4,0-1,62,81,80
2022-23,81,"Georgia St",4-8,-4.3,0-0,0-0,0-1,74,105,81
2022-23,82,"Liberty",8-5,-4.6,0-0,0-0,1-1,61,86,82
2022-23,83,"Virginia",3-7,-4.7,0-0,0-2,0-1,54,87,83
2022-23,84,"Ohio",10-4,-5.2,0-1,0-0,0-0,82,113,85
2022-23,85,"Georgia Tech",5-7,-5.3,0-1,0-3,1-1,85,107,88
2022-23,86,"Tulsa",5-7,-5.3,0-0,0-1,0-1,69,96,86
2022-23,87,"N Texas",7-7,-5.3,0-0,0-0,0-0,80,112,89
2022-23,88,"Georgia So",6-7,-5.5,0-0,0-0,0-0,75,108,84
2022-23,89,"Virginia Tech",3-8,-6.0,0-0,0-0,0-2,63,93,92
2022-23,90,"Kent St",5-7,-6.1,0-1,0-2,0-0,76,108,95
2022-23,91,"San Diego St",7-6,-6.2,0-1,0-0,0-0,76,109,91
2022-23,92,"Vanderbilt",5-7,-6.2,0-3,0-1,1-2,78,113,93
2022-23,93,"Coastal Car",9-4,-6.5,0-0,0-0,0-0,65,94,87
2022-23,94,"Florida Atlantic",5-7,-6.6,0-0,0-0,0-1,82,99,94
2022-23,95,"Southern Miss",7-6,-6.8,0-0,0-0,1-0,78,106,96
2022-23,96,"San Jose St",7-5,-7.0,0-0,0-0,0-0,67,114,90
2022-23,97,"Rutgers",4-8,-7.0,0-3,0-1,0-2,57,97,97
2022-23,98,"Northwestern",1-11,-7.3,0-2,0-2,0-3,72,108,98
2022-23,99,"Buffalo",7-6,-8.3,0-0,0-0,0-1,87,118,100
2022-23,100,"Boston College",3-9,-8.5,0-0,1-3,1-1,56,105,99
2022-23,101,"Middle Tenn",8-5,-9.0,0-0,0-0,0-0,86,118,101
2022-23,102,"Old Dominion",3-9,-9.7,0-0,0-0,0-0,83,104,102
2022-23,103,"E Michigan",9-4,-9.7,0-0,0-0,0-0,101,120,107
2022-23,104,"C Michigan",4-8,-9.8,0-1,0-0,0-1,73,104,103
2022-23,105,"Miami OH",6-7,-10.0,0-0,0-0,0-0,90,109,104
2022-23,106,"Wyoming",7-6,-10.4,0-0,0-1,0-0,99,117,105
2022-23,107,"S Florida",1-11,-10.9,0-0,0-1,0-3,88,110,106
2022-23,108,"Ball St",5-7,-11.8,0-1,0-0,0-0,106,120,108
2022-23,109,"UNLV",5-7,-11.9,0-0,0-1,0-0,87,119,109
2022-23,110,"W Michigan",5-7,-12.4,0-0,0-0,0-1,91,118,110
2022-23,111,"N Illinois",3-9,-12.6,0-0,0-0,0-0,80,113,113
2022-23,112,"UTEP",5-7,-12.7,0-0,0-1,0-0,111,124,112
2022-23,113,"Temple",3-9,-12.9,0-0,0-0,0-1,113,126,115
2022-23,114,"Arkansas St",3-9,-13.0,0-1,0-0,0-0,89,120,114
2022-23,115,"Utah St",6-7,-13.1,0-1,0-0,0-0,83,121,111
2022-23,116,"Texas St",4-8,-14.0,0-0,0-0,0-1,110,124,116
2022-23,117,"Bowling Green",6-7,-15.0,0-0,0-1,0-1,109,121,117
2022-23,118,"UL Monroe",4-8,-15.1,0-2,0-0,0-0,114,124,118
2022-23,119,"UConn",6-7,-15.2,0-1,0-0,0-1,117,128,120
2022-23,120,"Rice",5-8,-15.6,0-0,0-1,0-0,99,124,119
2022-23,121,"New Mexico St",7-6,-15.7,0-0,0-1,0-1,121,130,121
2022-23,122,"Louisiana Tech",3-9,-16.7,0-0,0-1,0-0,110,122,122
2022-23,123,"Colorado",1-11,-17.7,0-1,0-6,0-1,87,123,123
2022-23,124,"Akron",2-10,-18.4,0-1,0-0,0-0,123,127,125
2022-23,125,"Colorado St",3-9,-18.7,0-1,0-0,0-0,103,126,124
2022-23,126,"Nevada",2-10,-19.3,0-0,0-0,0-1,106,126,126
2022-23,127,"New Mexico",2-10,-20.9,0-1,0-0,0-0,111,128,128
2022-23,128,"Charlotte",3-9,-21.3,0-0,0-0,0-2,115,128,127
2022-23,129,"Hawai'i",3-10,-22.3,0-1,0-0,0-0,125,131,129
2022-23,130,"UMass",1-11,-26.5,0-0,0-0,0-2,128,131,130
2022-23,131,"Florida Intl",4-8,-29.2,0-0,0-0,0-0,128,131,131
2023-24,1,"Michigan",15-0,30.3,3-0,1-0,1-0,1,13,1
2023-24,2,"Georgia",13-1,29.7,0-1,4-0,3-0,1,10,5
2023-24,3,"Oregon",12-2,27.1,0-0,3-2,1-0,3,15,3
2023-24,4,"Ohio St",11-2,25.9,2-1,0-1,2-0,2,12,2
2023-24,5,"Penn St",10-3,24.6,0-2,0-1,1-0,2,11,4
2023-24,6,"Alabama",12-2,24.3,2-2,3-0,2-0,1,11,7
2023-24,7,"Texas",12-2,23.9,1-1,2-1,3-0,3,12,6
2023-24,8,"Notre Dame",10-3,23.6,0-1,2-2,2-0,8,15,11
2023-24,9,"LSU",10-3,22.8,0-1,2-2,3-0,4,16,8
2023-24,10,"Oklahoma",10-3,21.6,1-0,1-2,2-0,1,17,9
2023-24,11,"Kansas St",9-4,19.5,0-1,1-1,4-1,11,25,12
2023-24,12,"Florida St",13-1,19.2,1-1,2-0,3-0,1,15,10
2023-24,13,"Washington",14-1,19.1,3-1,4-0,0-0,3,14,13
2023-24,14,"Missouri",11-2,17.5,1-2,2-0,2-0,14,51,16
2023-24,15,"Mississippi",11-2,17.3,2-2,1-0,1-0,11,18,15
2023-24,16,"Tennessee",9-4,16.9,0-2,1-1,1-1,9,21,17
2023-24,17,"Texas A&M",7-6,15.2,0-2,0-2,1-1,12,17,14
2023-24,18,"USC",8-5,14.0,0-2,2-2,0-1,4,21,21
2023-24,19,"Clemson",9-4,13.9,1-0,0-1,2-3,7,21,18
2023-24,20,"Arizona",10-3,12.8,1-0,2-2,1-0,20,75,23
2023-24,21,"SMU",11-3,12.6,0-1,0-0,0-1,17,51,19
2023-24,22,"Oregon St",8-5,12.5,0-2,1-2,1-0,17,30,20
2023-24,23,"Louisville",10-4,11.7,1-0,0-2,3-1,18,43,22
2023-24,24,"Kansas",9-4,9.8,1-1,0-1,1-1,24,55,27
2023-24,25,"Utah",8-5,9.6,0-1,1-3,2-0,16,29,25
2023-24,26,"Miami",7-6,9.5,0-0,2-2,0-2,16,41,24
2023-24,27,"Duke",8-5,9.4,0-1,1-2,2-1,19,49,29
2023-24,28,"Maryland",8-5,9.3,0-3,0-0,1-0,25,47,32
2023-24,29,"TCU",5-7,8.9,0-2,1-1,0-2,21,40,30
2023-24,30,"Auburn",6-7,8.4,0-3,0-2,0-1,18,36,28
2023-24,31,"North Carolina",8-5,8.1,0-0,0-1,2-1,16,33,26
2023-24,32,"UCLA",8-5,8.1,0-0,1-3,0-0,18,37,37
2023-24,33,"Kentucky",7-6,7.9,0-2,1-3,1-0,23,49,39
2023-24,34,"NC State",9-4,7.7,0-1,1-2,2-1,33,62,35
2023-24,35,"Florida",5-7,7.6,0-2,1-3,0-1,28,39,38
2023-24,36,"Troy",11-3,7.3,0-0,0-1,0-2,35,81,36
2023-24,37,"Iowa St",7-6,7.3,0-2,1-1,1-0,30,74,31
2023-24,38,"Texas Tech",7-6,7.1,0-2,1-1,1-0,22,43,42
2023-24,39,"J Madison",11-2,7.0,0-0,0-0,1-0,33,70,33
2023-24,40,"Wisconsin",7-6,6.9,0-2,0-0,0-0,19,45,41
2023-24,41,"West Virginia",9-4,6.8,0-2,0-0,3-0,36,58,44
2023-24,42,"UCF",6-7,6.6,0-1,0-2,0-1,22,53,34
2023-24,43,"South Carolina",5-7,6.4,0-1,0-4,1-2,31,52,43
2023-24,44,"Oklahoma St",10-4,5.7,1-1,3-0,0-1,33,91,48
2023-24,45,"Iowa",10-4,5.2,0-2,0-1,2-0,25,45,40
2023-24,46,"Washington St",5-7,5.0,0-1,1-2,1-1,29,63,46
2023-24,47,"Memphis",10-3,4.8,0-0,0-2,1-0,41,53,51
2023-24,48,"Virginia Tech",7-6,4.8,0-0,0-2,0-1,47,91,50
2023-24,49,"Rutgers",7-6,4.2,0-3,0-0,1-2,41,86,53
2023-24,50,"Boise St",8-6,4.2,0-0,0-1,0-1,44,75,47
2023-24,51,"Liberty",13-1,4.0,0-1,0-0,0-0,44,76,45
2023-24,52,"S Alabama",7-6,4.0,0-0,0-0,0-2,38,82,57
2023-24,53,"Georgia Tech",7-6,3.2,0-1,0-3,2-0,53,89,55
2023-24,54,"Tulane",11-3,3.1,0-0,0-2,0-0,25,54,49
2023-24,55,"UTSA",9-4,2.9,0-0,0-1,0-0,43,76,56
2023-24,56,"California",6-7,2.3,0-1,0-4,1-2,32,64,52
2023-24,57,"Arkansas",4-8,2.3,0-2,0-3,1-1,27,57,54
2023-24,58,"Air Force",9-4,1.8,0-0,0-0,1-0,31,62,61
2023-24,59,"Nebraska",5-7,1.1,0-1,0-0,0-2,49,76,60
2023-24,60,"Toledo",11-3,0.9,0-0,0-0,0-0,31,61,58
2023-24,61,"Mississippi St",5-7,0.9,0-2,1-2,0-2,31,64,62
2023-24,62,"San Jose St",7-6,0.4,0-0,0-2,0-0,54,90,59
2023-24,63,"Northwestern",8-5,-0.1,0-1,1-0,2-1,63,114,70
2023-24,64,"Illinois",5-7,-0.2,0-1,0-1,1-1,40,80,64
2023-24,65,"App State",9-5,-0.7,0-0,0-0,1-2,65,94,66
2023-24,66,"Minnesota",6-7,-0.9,0-2,0-0,0-2,33,67,65
2023-24,67,"Purdue",4-8,-1.1,0-2,0-0,0-1,54,75,67
2023-24,68,"UNLV",9-5,-1.2,0-1,0-1,0-0,61,106,69
2023-24,69,"Miami OH",11-3,-1.6,0-0,0-0,0-1,68,107,68
2023-24,70,"BYU",5-7,-1.8,0-2,0-1,1-2,47,79,72
2023-24,71,"Fresno St",9-4,-1.8,0-0,0-0,0-0,46,80,76
2023-24,72,"Pittsburgh",3-9,-2.1,0-1,1-1,0-2,33,73,71
2023-24,73,"Colorado",4-8,-2.1,0-1,0-4,1-1,55,99,73
2023-24,74,"Coastal Car",8-5,-2.2,0-0,0-0,0-2,48,80,78
2023-24,75,"Wyoming",9-4,-2.5,0-1,0-0,1-0,73,93,75
2023-24,76,"Wake Forest",4-8,-2.7,0-1,0-2,0-2,48,79,74
2023-24,77,"Ohio",10-3,-3.1,0-0,0-0,1-0,64,89,83
2023-24,78,"Houston",4-8,-3.2,0-1,0-1,0-2,59,80,77
2023-24,79,"Syracuse",6-7,-3.3,0-0,0-2,0-1,22,79,63
2023-24,80,"Jacksonville St",9-4,-3.6,0-0,0-0,0-0,78,125,79
2023-24,81,"Indiana",3-9,-3.8,0-3,0-1,1-1,71,99,80
2023-24,82,"Boston College",7-6,-3.9,0-0,1-2,0-1,76,107,87
2023-24,83,"Baylor",3-9,-3.9,0-1,0-2,0-3,29,84,82
2023-24,84,"Cincinnati",3-9,-4.3,0-1,0-1,0-1,35,85,85
2023-24,85,"W Kentucky",8-5,-4.4,0-1,0-0,0-1,61,86,84
2023-24,86,"Louisiana",6-7,-5.0,0-0,0-0,0-1,76,96,89
2023-24,87,"Michigan St",4-8,-5.4,0-3,0-1,0-1,48,89,88
2023-24,88,"Rice",6-7,-5.5,0-1,0-1,0-0,79,108,81
2023-24,89,"Bowling Green",7-6,-5.6,0-1,0-0,0-0,87,119,90
2023-24,90,"Florida Atlantic",4-8,-6.3,0-0,0-1,0-0,67,95,91
2023-24,91,"Texas St",8-5,-6.3,0-0,0-0,0-1,82,122,100
2023-24,92,"Virginia",3-9,-6.3,0-0,0-2,2-4,86,113,92
2023-24,93,"New Mexico St",10-5,-6.5,0-0,0-0,1-0,86,130,86
2023-24,94,"Army",6-6,-7.2,0-1,0-0,0-1,62,106,94
2023-24,95,"Arizona St",3-9,-7.3,0-1,0-4,1-0,74,118,95
2023-24,96,"S Florida",7-6,-7.3,0-1,0-0,0-0,87,115,109
2023-24,97,"Vanderbilt",2-10,-7.4,0-1,0-3,0-3,78,101,99
2023-24,98,"Georgia St",7-6,-7.7,0-1,0-0,0-2,75,112,103
2023-24,99,"Georgia So",6-7,-7.8,0-0,0-0,0-2,56,99,93
2023-24,100,"Marshall",6-7,-8.1,0-0,0-0,0-2,76,103,96
2023-24,101,"E Carolina",2-10,-8.1,0-1,0-1,0-0,83,105,97
2023-24,102,"N Illinois",7-6,-8.6,0-0,0-0,0-0,92,119,101
2023-24,103,"N Texas",5-7,-8.8,0-0,0-1,0-0,88,122,102
2023-24,104,"Old Dominion",6-7,-9.1,0-0,0-0,0-1,101,126,104
2023-24,105,"Navy",5-7,-9.3,0-1,0-1,0-0,82,107,106
2023-24,106,"Utah St",6-7,-9.6,0-0,0-0,0-1,81,117,98
2023-24,107,"Middle Tenn",4-8,-9.7,0-1,0-1,0-0,95,116,105
2023-24,108,"Arkansas St",6-7,-9.7,0-1,0-0,0-1,103,132,107
2023-24,109,"UAB",4-8,-10.5,0-1,0-0,0-0,85,112,111
2023-24,110,"San Diego St",4-8,-10.7,0-0,0-1,0-1,73,114,108
2023-24,111,"Stanford",3-9,-10.8,0-2,0-4,0-1,103,123,110
2023-24,112,"Colorado St",5-7,-11.2,0-0,0-0,0-0,103,124,112
2023-24,113,"Ball St",4-8,-13.4,0-1,0-0,0-1,106,128,114
2023-24,114,"Tulsa",4-8,-13.5,0-1,0-2,0-0,87,119,113
2023-24,115,"Buffalo",3-9,-13.8,0-0,0-0,0-1,92,119,115
2023-24,116,"C Michigan",5-7,-14.2,0-1,0-0,0-0,103,119,117
2023-24,117,"Louisiana Tech",3-9,-14.4,0-0,0-1,0-0,102,118,116
2023-24,118,"Sam Houston",3-9,-14.6,0-0,0-0,0-0,114,127,118
2023-24,119,"W Michigan",4-8,-14.9,0-0,0-0,0-0,110,127,119
2023-24,120,"Southern Miss",3-9,-15.0,0-0,0-1,0-1,91,127,122
2023-24,121,"UTEP",3-9,-15.0,0-0,0-1,0-0,113,129,120
2023-24,122,"UConn",3-9,-15.4,0-0,0-1,0-3,107,126,123
2023-24,123,"Charlotte",3-9,-15.7,0-0,0-1,0-2,110,126,124
2023-24,124,"New Mexico",4-8,-16.7,0-0,0-1,0-0,120,132,125
2023-24,125,"E Michigan",6-7,-16.9,0-0,0-0,0-0,95,125,121
2023-24,126,"Hawai'i",5-8,-17.5,0-1,0-0,0-0,124,131,126
2023-24,127,"Temple",3-9,-18.2,0-0,0-1,0-1,92,130,127
2023-24,128,"UL Monroe",2-10,-19.9,0-0,0-2,0-1,113,129,129
2023-24,129,"Florida Intl",4-8,-20.7,0-0,0-0,0-0,121,131,130
2023-24,130,"UMass",3-9,-20.7,0-1,0-0,0-1,128,133,128
2023-24,131,"Nevada",2-10,-20.7,0-0,0-2,0-0,124,133,131
2023-24,132,"Akron",2-10,-21.1,0-0,0-0,0-1,120,132,132
2023-24,133,"Kent St",1-11,-27.4,0-0,0-0,0-0,131,133,133
2024-25,1,"Ohio St",13-2,30.9,5-1,1-1,1-0,1,4,2
2024-25,2,"Notre Dame",14-1,27.9,3-0,3-0,0-0,2,13,3
2024-25,3,"Texas",13-3,26.9,0-3,5-0,2-0,1,5,1
2024-25,4,"Mississippi",10-3,26.0,1-0,1-2,2-0,3,7,5
2024-25,5,"Alabama",9-4,24.1,1-1,3-1,1-1,1,6,4
2024-25,6,"Georgia",11-3,24.1,3-3,2-0,1-0,1,6,6
2024-25,7,"Penn St",13-3,23.2,0-3,2-0,3-0,6,11,9
2024-25,8,"Oregon",13-1,22.2,2-1,1-0,2-0,4,21,8
2024-25,9,"Tennessee",10-3,22.2,1-2,1-0,1-1,4,14,7
2024-25,10,"Indiana",11-2,21.4,0-2,1-0,1-0,10,68,10
2024-25,11,"Miami",10-3,18.9,0-0,2-1,1-0,7,21,11
2024-25,12,"South Carolina",9-4,17.5,0-2,3-1,1-1,12,56,12
2024-25,13,"LSU",9-4,16.7,1-1,1-3,3-0,9,20,16
2024-25,14,"Louisville",9-4,16.4,0-1,1-2,0-0,12,31,14
2024-25,15,"Clemson",10-4,16.1,0-2,1-2,1-0,8,22,15
2024-25,16,"SMU",11-3,16.0,0-1,1-2,1-0,13,48,13
2024-25,17,"Texas A&M",8-5,15.6,0-2,3-2,1-1,11,20,17
2024-25,18,"Florida",8-5,15.4,1-3,1-2,1-0,18,44,19
2024-25,19,"USC",7-6,15.1,0-2,2-1,1-1,10,23,20
2024-25,20,"Arizona St",11-3,13.8,0-1,2-0,3-0,20,77,28
2024-25,21,"Michigan",8-5,13.6,2-3,1-0,1-1,10,41,27
2024-25,22,"Iowa",8-5,13.4,0-1,0-2,2-0,19,28,26
2024-25,23,"Missouri",10-3,13.3,0-1,1-2,3-0,10,29,24
2024-25,24,"Iowa St",11-3,13.1,0-0,2-1,3-1,14,37,18
2024-25,25,"BYU",11-2,12.9,0-0,1-1,4-1,22,63,29
2024-25,26,"Kansas St",9-4,12.7,0-0,0-3,3-0,14,27,25
2024-25,27,"Oklahoma",6-7,12.3,1-3,0-3,2-0,9,28,22
2024-25,28,"Colorado",9-4,12.3,0-0,0-1,2-3,20,79,21
2024-25,29,"Minnesota",8-5,11.7,0-1,1-2,2-0,29,58,33
2024-25,30,"Virginia Tech",6-7,10.4,0-0,0-2,0-1,23,50,30
2024-25,31,"TCU",9-4,10.4,0-0,0-1,2-1,24,54,37
2024-25,32,"Baylor",8-5,10.4,0-0,0-3,2-2,30,61,31
2024-25,33,"Kansas",5-7,10.2,0-0,2-1,1-4,24,49,34
2024-25,34,"Auburn",5-7,10.2,0-2,1-1,0-2,14,37,32
2024-25,35,"Tulane",9-5,10.1,0-0,0-1,0-2,17,49,23
2024-25,36,"Arkansas",7-6,10.0,1-2,0-3,1-0,23,50,35
2024-25,37,"Boise St",12-2,9.7,0-2,0-0,0-0,22,47,36
2024-25,38,"Illinois",10-3,8.4,0-2,2-0,2-1,37,59,46
2024-25,39,"Nebraska",7-6,8.4,0-2,0-2,1-1,27,55,40
2024-25,40,"Utah",5-7,8.0,0-0,0-3,1-2,11,47,39
2024-25,41,"UCF",4-8,7.9,0-0,0-4,1-2,16,46,41
2024-25,42,"Georgia Tech",7-6,7.8,0-2,1-1,0-1,36,48,38
2024-25,43,"Kentucky",4-8,7.6,1-3,0-3,0-1,21,48,42
2024-25,44,"UNLV",11-3,7.3,0-0,0-0,1-2,21,82,43
2024-25,45,"Vanderbilt",7-6,7.2,1-2,0-3,2-0,40,97,45
2024-25,46,"Texas Tech",8-5,6.5,0-0,2-0,0-4,36,83,44
2024-25,47,"Wisconsin",5-7,6.3,0-3,0-2,0-2,29,61,47
2024-25,48,"Washington",6-7,6.2,0-3,2-2,0-0,37,55,49
2024-25,49,"Rutgers",7-6,5.7,0-0,0-1,2-3,40,67,51
2024-25,50,"Syracuse",10-3,5.3,0-0,1-0,1-0,48,69,52
2024-25,51,"Boston College",7-6,4.9,0-0,0-3,0-2,24,66,48
2024-25,52,"Army",12-2,4.8,0-1,0-0,1-0,47,98,55
2024-25,53,"Cincinnati",5-7,4.8,0-0,1-1,0-3,37,74,50
2024-25,54,"Memphis",11-2,4.6,0-0,0-0,1-0,29,67,53
2024-25,55,"UCLA",5-7,3.7,0-3,1-2,1-1,48,82,60
2024-25,56,"Navy",10-3,3.6,0-1,0-0,1-1,55,101,63
2024-25,57,"West Virginia",6-7,3.3,0-1,0-1,1-2,28,59,56
2024-25,58,"Pittsburgh",7-6,3.2,0-0,0-3,0-0,34,75,54
2024-25,59,"Duke",9-4,2.6,0-1,0-2,1-0,55,79,57
2024-25,60,"California",6-7,2.5,0-0,0-2,1-0,39,68,58
2024-25,61,"Texas St",8-5,2.1,0-0,0-1,0-0,55,94,61
2024-25,62,"North Carolina",6-7,1.6,0-0,0-0,1-0,43,69,59
2024-25,63,"J Madison",9-4,1.0,0-0,0-0,0-0,42,91,65
2024-25,64,"Marshall",10-3,0.6,0-1,0-0,0-1,64,105,75
2024-25,65,"Mississippi St",2-10,0.4,0-4,0-4,0-1,50,86,66
2024-25,66,"Maryland",4-8,0.3,0-3,1-1,0-1,31,70,68
2024-25,67,"NC State",6-7,0.1,0-1,0-1,0-0,31,79,64
2024-25,68,"Ohio",11-3,-0.2,0-0,0-0,0-0,68,112,79
2024-25,69,"S Alabama",7-6,-0.6,0-0,0-1,0-0,59,101,69
2024-25,70,"Washington St",8-5,-0.7,0-0,0-0,0-1,42,73,67
2024-25,71,"Oklahoma St",3-9,-1.0,0-0,0-2,1-5,19,76,74
2024-25,72,"Houston",4-8,-1.1,0-0,0-2,3-3,56,91,72
2024-25,73,"Miami OH",9-5,-1.3,0-1,0-0,0-0,69,95,70
2024-25,74,"Florida St",2-10,-1.5,0-1,0-4,0-0,12,75,73
2024-25,75,"Virginia",5-7,-1.5,0-1,0-3,0-1,64,85,71
2024-25,76,"Louisiana",10-4,-1.6,0-0,0-0,0-2,61,79,62
2024-25,77,"Michigan St",5-7,-1.8,0-3,1-1,0-1,57,83,76
2024-25,78,"S Florida",7-6,-3.1,0-1,0-1,0-1,48,88,77
2024-25,79,"Jacksonville St",9-5,-3.1,0-0,0-1,0-0,77,120,86
2024-25,80,"Northwestern",4-8,-3.1,0-2,0-2,0-1,63,88,81
2024-25,81,"N Illinois",8-5,-3.3,1-0,0-0,0-0,58,92,84
2024-25,82,"Arizona",4-8,-3.4,0-0,0-2,1-3,32,82,80
2024-25,83,"UConn",9-4,-3.7,0-0,0-0,0-0,83,128,90
2024-25,84,"Bowling Green",7-6,-3.7,0-1,0-1,0-0,65,97,78
2024-25,85,"Old Dominion",5-7,-4.0,0-0,0-1,0-1,79,110,82
2024-25,86,"UTSA",7-6,-4.1,0-1,0-0,0-0,58,109,91
2024-25,87,"Toledo",8-5,-4.2,0-0,0-0,0-0,61,90,89
2024-25,88,"Wake Forest",4-8,-4.5,0-1,0-2,0-0,70,88,83
2024-25,89,"Georgia So",8-5,-5.0,0-1,0-0,0-1,81,104,85
2024-25,90,"Stanford",3-9,-5.1,0-1,1-2,0-2,66,99,87
2024-25,91,"E Carolina",8-5,-5.5,0-0,0-0,0-0,83,101,94
2024-25,92,"Fresno St",6-7,-5.6,0-0,0-1,0-0,66,92,88
2024-25,93,"N Texas",6-7,-7.1,0-0,0-0,0-1,85,104,97
2024-25,94,"Rice",4-8,-7.3,0-0,0-0,0-1,80,105,95
2024-25,95,"Liberty",8-4,-8.0,0-0,0-0,0-0,42,96,92
2024-25,96,"App State",5-6,-8.1,0-0,0-1,0-0,53,105,98
2024-25,97,"San Jose St",7-6,-8.2,0-0,0-0,0-1,91,112,99
2024-25,98,"Sam Houston",10-3,-8.3,0-0,0-0,0-0,90,117,101
2024-25,99,"Oregon St",5-7,-8.9,0-1,0-0,0-1,61,103,102
2024-25,100,"W Kentucky",8-6,-9.0,0-1,0-0,0-0,78,111,93
2024-25,101,"Troy",4-8,-9.2,0-0,0-1,0-0,90,109,103
2024-25,102,"Colorado St",8-5,-9.2,0-1,0-0,0-1,94,115,96
2024-25,103,"Buffalo",9-4,-10.1,0-0,0-1,0-0,103,123,108
2024-25,104,"Coastal Car",6-7,-10.2,0-0,0-0,0-0,72,105,100
2024-25,105,"W Michigan",6-7,-10.2,0-1,0-0,0-0,93,110,104
2024-25,106,"Air Force",5-7,-11.4,0-0,0-0,0-1,87,123,105
2024-25,107,"Utah St",4-8,-11.9,0-0,0-1,0-2,106,122,107
2024-25,108,"Nevada",3-10,-11.9,0-0,0-1,0-2,98,127,106
2024-25,109,"Wyoming",3-9,-12.5,0-0,0-2,0-1,91,123,110
2024-25,110,"Hawai'i",5-7,-12.5,0-0,0-0,0-1,97,112,109
2024-25,111,"Arkansas St",8-5,-12.6,0-0,0-2,0-0,95,115,114
2024-25,112,"UAB",3-9,-12.8,0-0,0-0,0-2,87,121,112
2024-25,113,"Charlotte",5-7,-12.9,0-1,0-0,0-1,102,124,111
2024-25,114,"Purdue",1-11,-13.1,0-5,0-0,0-2,51,116,116
2024-25,115,"Louisiana Tech",5-8,-13.5,0-0,0-0,0-1,113,126,113
2024-25,116,"UL Monroe",5-7,-13.9,0-1,0-0,0-1,99,133,115
2024-25,117,"E Michigan",5-7,-14.1,0-0,0-0,0-0,98,123,119
2024-25,118,"Florida Intl",4-8,-14.3,0-1,0-0,0-0,98,129,117
2024-25,119,"Georgia St",3-9,-14.4,0-0,0-0,0-0,111,125,118
2024-25,120,"Florida Atlantic",3-9,-14.4,0-0,0-0,0-0,98,124,120
2024-25,121,"C Michigan",4-8,-15.3,0-0,0-0,0-1,77,123,123
2024-25,122,"San Diego St",3-9,-15.5,0-0,0-0,0-1,98,123,122
2024-25,123,"New Mexico",5-7,-15.5,0-0,0-0,0-1,119,133,121
2024-25,124,"Akron",4-8,-16.4,0-1,0-1,0-0,123,129,124
2024-25,125,"UMass",2-10,-19.4,0-1,0-1,0-0,125,133,125
2024-25,126,"Ball St",3-9,-19.7,0-0,0-1,0-0,118,131,126
2024-25,127,"Temple",3-9,-20.6,0-0,0-0,0-2,123,133,127
2024-25,128,"UTEP",3-9,-22.8,0-1,0-0,0-1,124,131,128
2024-25,129,"Middle Tenn",3-9,-23.5,0-1,0-0,0-0,115,131,129
2024-25,130,"New Mexico St",3-9,-24.9,0-0,0-1,0-0,126,133,130
2024-25,131,"Southern Miss",1-11,-25.7,0-0,0-0,0-0,118,132,131
2024-25,132,"Tulsa",3-9,-25.8,0-0,0-0,0-0,99,133,133
2024-25,133,"Kennesaw St",2-10,-26.1,0-0,0-0,0-0,131,134,132
2024-25,134,"Kent St",0-12,-32.5,0-2,0-0,0-0,131,134,134
2025-26,1,"Indiana",15-0,36.4,4-0,3-0,0-0,1,31,2
2025-26,2,"Ohio St",12-2,32.2,0-2,5-0,0-0,1,2,1
2025-26,3,"Notre Dame",10-2,29.8,0-1,1-1,1-0,3,12,3
2025-26,4,"Oregon",13-2,28.6,1-2,4-0,1-0,2,9,4
2025-26,5,"Texas Tech",12-2,28.0,1-1,2-0,0-0,3,28,5
2025-26,6,"Miami",13-2,25.4,3-0,1-1,4-1,6,22,8
2025-26,7,"Utah",11-2,24.0,0-1,0-1,1-0,6,31,7
2025-26,8,"Georgia",12-2,23.6,2-2,2-0,3-0,1,9,9
