Season,Rank,Team,Record,Rating,Hi,Lo,Last
2023-24,98,"Texas St",8-5,-7.1,24,123,109
2023-24,99,"W Kentucky",8-5,-7.1,62,124,90
2023-24,100,"Georgia So",6-7,-7.2,82,128,103
2023-24,101,"Arkansas St",6-7,-7.4,16,129,102
2023-24,102,"Miami OH",11-3,-7.4,4,115,100
2023-24,103,"Navy",5-7,-7.4,2,114,106
2023-24,104,"Charlotte",3-9,-7.4,86,132,105
2023-24,105,"N Texas",5-7,-7.5,35,130,99
2023-24,106,"Utah St",6-7,-7.6,26,117,93
2023-24,107,"Toledo",11-3,-7.6,24,118,101
2023-24,108,"Louisiana",6-7,-7.7,72,128,113
2023-24,109,"Tulsa",4-8,-7.8,57,133,98
2023-24,110,"UL Monroe",2-10,-7.9,82,128,111
2023-24,111,"Colorado St",5-7,-7.9,22,113,104
2023-24,112,"Jacksonville St",9-4,-8.2,100,132,110
2023-24,113,"Middle Tenn",4-8,-8.4,1,113,108
2023-24,114,"W Michigan",4-8,-8.5,93,132,107
2023-24,115,"UConn",3-9,-8.7,46,118,118
2023-24,116,"New Mexico St",10-5,-9.0,112,133,114
2023-24,117,"UTEP",3-9,-9.0,96,128,115
2023-24,118,"Sam Houston",3-9,-9.2,19,127,117
2023-24,119,"Ohio",10-3,-9.4,80,123,121
2023-24,120,"Temple",3-9,-9.4,81,129,122
2023-24,121,"Nevada",2-10,-9.4,11,124,120
2023-24,122,"Louisiana Tech",3-9,-9.8,80,132,119
2023-24,123,"Hawai'i",5-8,-9.9,75,129,123
2023-24,124,"C Michigan",5-7,-10.0,10,127,124
2023-24,125,"Buffalo",3-9,-10.1,14,126,125
2023-24,126,"Ball St",4-8,-10.2,6,128,126
2023-24,127,"New Mexico",4-8,-10.6,15,133,128
2023-24,128,"UMass",3-9,-10.7,69,133,127
2023-24,129,"Florida Intl",4-8,-11.3,99,133,129
2023-24,130,"N Illinois",7-6,-11.4,63,130,130
2023-24,131,"E Michigan",6-7,-13.3,86,133,132
2023-24,132,"Akron",2-10,-13.3,72,133,131
2023-24,133,"Kent St",1-11,-13.9,6,133,133
2024-25,1,"Georgia",11-3,17.7,1,9,1
2024-25,2,"Ohio St",13-2,16.2,2,56,8
2024-25,3,"Texas",13-3,14.8,3,44,9
2024-25,4,"Alabama",9-4,13.2,2,39,2
2024-25,5,"Florida",8-5,13.2,3,28,4
2024-25,6,"Tennessee",10-3,12.9,4,62,11
2024-25,7,"Notre Dame",14-1,12.7,3,32,19
2024-25,8,"LSU",9-4,12.5,3,33,6
2024-25,9,"Penn St",13-3,12.5,6,32,20
2024-25,10,"South Carolina",9-4,11.9,3,59,5
2024-25,11,"Oregon",13-1,11.9,4,71,26
2024-25,12,"Michigan",8-5,11.9,4,31,14
2024-25,13,"Oklahoma",6-7,11.9,3,111,3
2024-25,14,"Texas A&M",8-5,11.8,3,21,10
2024-25,15,"Mississippi",10-3,11.6,5,67,7
2024-25,16,"USC",7-6,11.1,3,34,15
2024-25,17,"Kentucky",4-8,10.1,3,67,12
2024-25,18,"Indiana",11-2,9.4,18,102,42
2024-25,19,"UCLA",5-7,9.2,7,69,18
2024-25,20,"Louisville",9-4,9.1,9,124,13
2024-25,21,"Vanderbilt",7-6,9.0,16,92,16
2024-25,22,"Clemson",10-4,8.9,1,38,27
2024-25,23,"Arkansas",7-6,8.8,8,119,17
2024-25,24,"Kansas",5-7,8.5,17,120,21
2024-25,25,"Missouri",10-3,8.1,17,115,22
2024-25,26,"Arizona St",11-3,7.9,26,74,46
2024-25,27,"Iowa St",11-3,7.7,21,83,30
2024-25,28,"Washington",6-7,7.6,28,117,38
2024-25,29,"Auburn",5-7,7.6,21,81,23
2024-25,30,"Minnesota",8-5,7.5,4,86,33
2024-25,31,"Wisconsin",5-7,7.2,20,107,29
2024-25,32,"Miami",10-3,7.2,12,32,28
2024-25,33,"SMU",11-3,7.0,27,132,49
2024-25,34,"BYU",11-2,7.0,22,104,35
2024-25,35,"Georgia Tech",7-6,7.0,1,54,24
2024-25,36,"Kansas St",9-4,7.0,10,81,25
2024-25,37,"Baylor",8-5,6.8,17,109,34
2024-25,38,"Iowa",8-5,6.8,11,91,44
2024-25,39,"Mississippi St",2-10,6.7,23,121,32
2024-25,40,"Nebraska",7-6,6.6,32,97,36
2024-25,41,"Houston",4-8,6.5,6,61,31
2024-25,42,"UCF",4-8,6.4,22,116,37
2024-25,43,"Illinois",10-3,6.2,30,124,51
2024-25,44,"Virginia Tech",6-7,6.1,15,50,39
2024-25,45,"Colorado",9-4,6.0,36,118,41
2024-25,46,"Cincinnati",5-7,5.7,40,97,40
2024-25,47,"West Virginia",6-7,5.4,2,47,43
2024-25,48,"Utah",5-7,5.3,13,114,47
2024-25,49,"Florida St",2-10,5.1,2,49,45
2024-25,50,"TCU",9-4,4.6,8,57,48
2024-25,51,"Rutgers",7-6,4.5,45,131,57
2024-25,52,"Texas Tech",8-5,4.5,35,79,50
2024-25,53,"Maryland",4-8,4.4,41,80,55
2024-25,54,"Oklahoma St",3-9,4.1,19,85,53
2024-25,55,"Boston College",7-6,3.6,8,64,52
2024-25,56,"Michigan St",5-7,3.2,29,110,61
2024-25,57,"Virginia",5-7,3.1,53,105,54
2024-25,58,"Northwestern",4-8,2.9,45,102,62
2024-25,59,"Syracuse",10-3,2.7,40,84,58
2024-25,60,"Stanford",3-9,2.7,6,81,59
2024-25,61,"Arizona",4-8,2.6,30,125,60
2024-25,62,"Pittsburgh",7-6,2.5,47,99,56
2024-25,63,"Duke",9-4,2.2,59,119,63
2024-25,64,"Tulane",9-5,1.7,14,122,67
2024-25,65,"California",6-7,1.0,32,96,65
2024-25,66,"Boise St",12-2,0.6,11,72,70
2024-25,67,"Wake Forest",4-8,0.4,60,123,64
2024-25,68,"NC State",6-7,-0.2,30,117,66
2024-25,69,"Purdue",1-11,-0.2,55,134,69
2024-25,70,"North Carolina",6-7,-0.5,3,83,68
2024-25,71,"Navy",10-3,-0.9,70,134,73
2024-25,72,"UNLV",11-3,-1.1,19,79,71
2024-25,73,"Old Dominion",5-7,-3.1,25,109,72
2024-25,74,"Memphis",11-2,-3.7,37,104,75
2024-25,75,"Marshall",10-3,-4.4,48,132,80
2024-25,76,"Rice",4-8,-4.7,60,112,79
2024-25,77,"Army",12-2,-4.8,76,129,95
2024-25,78,"Charlotte",5-7,-4.9,53,113,78
2024-25,79,"Georgia So",8-5,-5.0,32,103,74
2024-25,80,"S Florida",7-6,-5.0,18,116,77
2024-25,81,"App State",5-6,-5.1,44,101,76
2024-25,82,"Miami OH",9-5,-5.3,17,87,82
2024-25,83,"Washington St",8-5,-5.4,38,113,84
2024-25,84,"N Texas",6-7,-5.9,52,109,90
2024-25,85,"S Alabama",7-6,-6.1,55,121,81
2024-25,86,"Texas St",8-5,-6.2,68,104,83
2024-25,87,"Louisiana",10-4,-6.3,63,133,87
2024-25,88,"Ohio",11-3,-6.3,30,111,103
2024-25,89,"Oregon St",5-7,-6.4,52,103,85
2024-25,90,"Georgia St",3-9,-6.5,18,116,86
2024-25,91,"Nevada",3-10,-6.8,44,131,88
2024-25,92,"UTSA",7-6,-7.0,48,116,100
2024-25,93,"Fresno St",6-7,-7.1,8,101,92
2024-25,94,"Wyoming",3-9,-7.1,22,117,91
2024-25,95,"UAB",3-9,-7.3,87,130,97
2024-25,96,"Bowling Green",7-6,-7.3,21,125,89
2024-25,97,"N Illinois",8-5,-7.5,28,134,101
2024-25,98,"UL Monroe",5-7,-7.6,90,133,96
2024-25,99,"Toledo",8-5,-7.6,81,131,105
2024-25,100,"Coastal Car",6-7,-7.7,58,129,93
2024-25,101,"Troy",4-8,-7.8,42,101,94
2024-25,102,"San Jose St",7-6,-7.8,96,129,99
2024-25,103,"UConn",9-4,-8.1,21,120,109
2024-25,104,"J Madison",9-4,-8.1,63,127,98
2024-25,105,"E Carolina",8-5,-8.2,77,129,108
2024-25,106,"Utah St",4-8,-8.4,74,120,102
2024-25,107,"Air Force",5-7,-9.0,72,127,104
2024-25,108,"Temple",3-9,-9.1,3,131,107
2024-25,109,"Colorado St",8-5,-9.2,5,120,106
2024-25,110,"Arkansas St",8-5,-9.2,78,122,111
2024-25,111,"Akron",4-8,-9.3,8,128,112
2024-25,112,"W Michigan",6-7,-9.3,4,119,118
2024-25,113,"Hawai'i",5-7,-9.7,66,133,110
2024-25,114,"W Kentucky",8-6,-9.9,4,118,115
2024-25,115,"Sam Houston",10-3,-9.9,16,117,113
2024-25,116,"Jacksonville St",9-5,-10.3,40,123,121
2024-25,117,"Ball St",3-9,-10.5,35,133,119
2024-25,118,"San Diego St",3-9,-10.5,84,127,114
2024-25,119,"C Michigan",4-8,-10.6,103,134,120
2024-25,120,"Buffalo",9-4,-10.7,100,131,124
2024-25,121,"Southern Miss",1-11,-10.8,14,126,116
2024-25,122,"New Mexico",5-7,-11.0,74,134,117
2024-25,123,"UMass",2-10,-11.1,82,134,122
2024-25,124,"Florida Atlantic",3-9,-11.1,40,124,123
2024-25,125,"E Michigan",5-7,-11.9,83,129,125
2024-25,126,"Louisiana Tech",5-8,-13.2,96,134,127
2024-25,127,"Kennesaw St",2-10,-14.0,46,134,126
2024-25,128,"Tulsa",3-9,-14.2,112,132,128
2024-25,129,"Liberty",8-4,-14.7,39,134,131
2024-25,130,"Florida Intl",4-8,-14.8,24,130,130
2024-25,131,"Middle Tenn",3-9,-15.2,89,133,129
2024-25,132,"New Mexico St",3-9,-15.3,99,134,132
2024-25,133,"Kent St",0-12,-15.4,41,134,134
2024-25,134,"UTEP",3-9,-15.7,17,134,133
2025-26,1,"Indiana",15-0,19.9,1,68,2
2025-26,2,"Oregon",13-2,18.4,1,71,1
2025-26,3,"Ohio St",12-2,17.3,2,18,8
2025-26,4,"Alabama",11-4,16.7,1,21,3
2025-26,5,"Miami",13-2,15.3,2,40,19
2025-26,6,"Georgia",12-2,14.0,1,92,14
2025-26,7,"Texas",10-3,13.8,1,20,4
2025-26,8,"Iowa",9-4,13.8,8,100,9
2025-26,9,"Texas A&M",11-2,13.6,5,69,7
2025-26,10,"Florida",4-8,13.5,2,76,5
2025-26,11,"Oklahoma",10-3,13.3,4,89,6
2025-26,12,"Penn St",7-6,13.2,3,97,11
2025-26,13,"Texas Tech",12-2,13.1,11,112,22
2025-26,14,"Notre Dame",10-2,12.9,1,38,10
2025-26,15,"USC",9-4,12.3,6,90,12
2025-26,16,"Mississippi",13-2,12.2,10,70,25
2025-26,17,"Vanderbilt",10-3,11.7,15,115,15
2025-26,18,"Michigan",9-4,11.4,2,80,21
2025-26,19,"LSU",7-6,11.4,2,24,13
2025-26,20,"BYU",12-2,11.1,16,94,24
2025-26,21,"Auburn",5-7,11.0,2,29,16
2025-26,22,"South Carolina",4-8,10.8,9,62,17
2025-26,23,"Arkansas",2-10,10.7,15,119,18
2025-26,24,"Wisconsin",4-8,10.6,16,121,23
2025-26,25,"Illinois",9-4,10.3,10,122,30
2025-26,26,"Missouri",8-5,10.1,17,125,20
2025-26,27,"Tennessee",8-5,9.8,10,34,26
2025-26,28,"Utah",11-2,9.7,18,71,27
2025-26,29,"Kentucky",5-7,9.5,12,52,28
2025-26,30,"Washington",9-4,9.5,25,105,29
2025-26,31,"UCLA",3-9,8.8,13,60,32
2025-26,32,"Florida St",5-7,8.4,2,47,33
2025-26,33,"Mississippi St",5-8,8.1,29,73,31
2025-26,34,"Nebraska",7-6,7.8,4,42,35
2025-26,35,"Clemson",7-6,7.1,4,52,48
2025-26,36,"TCU",9-4,7.0,30,74,46
2025-26,37,"Arizona St",8-5,7.0,22,95,34
2025-26,38,"NC State",8-5,7.0,34,119,41
2025-26,39,"Rutgers",5-7,6.8,36,115,38
2025-26,40,"Kansas St",6-6,6.8,2,51,36
2025-26,41,"Baylor",5-7,6.6,1,52,37
2025-26,42,"Pittsburgh",8-5,6.4,39,115,40
2025-26,43,"Michigan St",4-8,6.4,40,117,45
2025-26,44,"Louisville",9-4,6.3,19,99,44
2025-26,45,"SMU",9-4,6.2,20,101,51
2025-26,46,"Arizona",9-4,6.1,44,115,49
2025-26,47,"Kansas",5-7,6.1,23,131,39
2025-26,48,"Iowa St",8-4,6.0,1,55,42
2025-26,49,"Virginia Tech",3-9,5.7,10,63,52
2025-26,50,"Purdue",2-10,5.6,44,133,50
2025-26,51,"Northwestern",7-6,5.5,27,79,43
2025-26,52,"Georgia Tech",9-4,5.5,10,64,56
2025-26,53,"West Virginia",4-8,5.0,36,119,53
2025-26,54,"Cincinnati",7-6,5.0,3,56,47
2025-26,55,"Colorado",3-9,4.6,8,55,54
2025-26,56,"Duke",9-5,4.4,36,129,59
2025-26,57,"Minnesota",8-5,3.9,36,116,55
2025-26,58,"Stanford",4-8,3.8,33,132,57
2025-26,59,"Virginia",11-3,3.8,39,87,65
2025-26,60,"Houston",10-3,3.0,53,131,63
2025-26,61,"Maryland",4-8,3.0,58,132,60
2025-26,62,"S Florida",9-4,3.0,8,76,58
2025-26,63,"Boston College",2-10,2.4,34,110,61
2025-26,64,"Syracuse",3-9,2.4,11,65,62
2025-26,65,"UCF",5-7,1.8,59,123,64
2025-26,66,"Wake Forest",9-4,1.7,62,133,67
2025-26,67,"Tulane",11-3,1.0,39,72,72
2025-26,68,"Washington St",7-6,0.7,59,122,66
2025-26,69,"California",7-6,-0.1,47,96,68
2025-26,70,"Oklahoma St",1-11,-0.4,60,130,69
2025-26,71,"J Madison",12-2,-0.7,44,117,76
2025-26,72,"North Carolina",4-8,-0.7,21,94,70
2025-26,73,"Boise St",9-5,-0.7,8,73,71
2025-26,74,"E Carolina",9-4,-1.1,10,92,74
2025-26,75,"Navy",11-2,-2.2,55,133,75
2025-26,76,"UTSA",7-6,-2.5,9,80,73
2025-26,77,"N Texas",12-2,-2.8,72,133,79
2025-26,78,"Old Dominion",10-3,-2.9,16,89,81
2025-26,79,"Army",7-6,-3.5,62,127,80
2025-26,80,"Memphis",8-5,-3.5,65,125,77
2025-26,81,"Utah St",6-7,-4.3,67,119,78
2025-26,82,"New Mexico",9-4,-4.9,17,132,83
2025-26,83,"Toledo",8-5,-5.1,28,94,88
2025-26,84,"Temple",5-7,-5.3,82,135,84
2025-26,85,"Colorado St",2-10,-5.3,19,105,82
2025-26,86,"San Diego St",9-4,-5.4,85,136,87
2025-26,87,"UNLV",10-4,-6.3,70,136,89
2025-26,88,"Oregon St",2-10,-6.3,27,91,86
2025-26,89,"Air Force",4-8,-6.4,74,136,85
2025-26,90,"Fresno St",9-4,-7.1,3,103,90
2025-26,91,"W Michigan",10-4,-7.1,14,121,95
2025-26,92,"Hawai'i",9-4,-7.2,57,134,91
2025-26,93,"San Jose St",3-9,-7.6,59,118,93
2025-26,94,"Miami OH",7-7,-7.7,7,114,97
2025-26,95,"Texas St",7-6,-7.8,57,99,92
2025-26,96,"Nevada",3-9,-8.1,6,133,96
2025-26,97,"Ohio",9-4,-8.2,9,102,101
2025-26,98,"Troy",8-6,-8.3,69,121,100
2025-26,99,"Florida Atlantic",4-8,-8.3,46,128,94
2025-26,100,"Wyoming",4-8,-8.6,87,134,99
2025-26,101,"UAB",4-8,-8.7,98,132,98
2025-26,102,"Marshall",5-7,-9.2,5,124,102
2025-26,103,"Coastal Car",6-7,-9.4,32,117,107
2025-26,104,"Tulsa",4-8,-9.4,97,134,105
2025-26,105,"Georgia So",7-6,-9.6,19,109,104
2025-26,106,"UConn",9-4,-9.6,70,129,106
2025-26,107,"Rice",5-8,-9.7,60,129,103
2025-26,108,"Charlotte",1-11,-10.0,73,136,109
2025-26,109,"Georgia St",1-11,-10.1,14,120,110
2025-26,110,"Arkansas St",7-6,-10.2,82,124,108
2025-26,111,"S Alabama",4-8,-10.2,61,117,111
2025-26,112,"Kennesaw St",10-4,-10.3,50,133,112
2025-26,113,"C Michigan",7-6,-10.6,43,128,119
2025-26,114,"Southern Miss",7-6,-10.6,48,118,118
2025-26,115,"W Kentucky",9-4,-10.9,90,135,117
2025-26,116,"Liberty",4-8,-10.9,65,120,116
2025-26,117,"Louisiana Tech",8-5,-11.0,75,128,113
2025-26,118,"Louisiana",6-7,-11.0,70,131,115
2025-26,119,"Missouri St",7-6,-11.0,20,127,114
2025-26,120,"Florida Intl",7-6,-11.5,86,135,120
2025-26,121,"UL Monroe",3-9,-11.9,104,135,122
2025-26,122,"E Michigan",4-8,-12.0,56,126,123
2025-26,123,"Delaware",7-6,-12.0,94,134,121
2025-26,124,"App State",5-8,-12.1,87,134,124
2025-26,125,"N Illinois",3-9,-12.4,85,127,127
2025-26,126,"Jacksonville St",9-5,-12.4,42,129,126
2025-26,127,"Sam Houston",2-10,-12.5,61,133,125
2025-26,128,"Ball St",4-8,-12.9,52,135,129
2025-26,129,"Bowling Green",4-8,-13.1,72,133,128
2025-26,130,"Middle Tenn",3-9,-13.4,94,131,130
2025-26,131,"Buffalo",5-7,-14.0,6,135,131
2025-26,132,"New Mexico St",4-8,-14.1,99,136,132
2025-26,133,"UTEP",2-10,-14.6,80,134,133
2025-26,134,"Kent St",5-7,-14.9,103,136,134
2025-26,135,"Akron",5-7,-16.3,85,135,135
2025-26,136,"UMass",0-12,-17.0,91,136,136
